keep,B_10_MIN_BLOCK,B_AGE_CODE,B_REGION,B_BAND_SIZE_CODE,B_BAND_STATUS_CODE,B_BAND_TYPE_CODE,B_BIRD_STATUS,B_COMMENTS,B_COORD_PRECISION,B_COUNTRY_CODE,B_DIRECTION_CODE,B_EXTRA_INFO_CODE,B_FLYWAY_CODE,B_HOW_AGED_CODE,B_HOW_CAPTURED,B_HOW_SEXED_CODE,B_LAT_10_MIN_BLK,B_LAT_DECIMAL_DEGREES,B_LOCATION_DESCRIPTION,B_LOCATION_ID,B_LON_10_MIN_BLK,B_LON_DECIMAL_DEGREES,B_MARKER_LONG_DESC,B_PERMIT_NUM,B_SEX_CODE,B_SPECIES_ID,B_SPECIES_NAME,B_STATE_CODE,BAND_NUM,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BEARING,DISTANCE,E_10_MIN_BLOCK,E_REGION,E_CAPTURE_TIME,E_COMMENTS,E_COORD_PRECISION,E_COUNTRY_CODE,E_COUNTY_CODE,E_CREATE_DATE,E_CREATE_MONTH,E_CREATE_YEAR,E_DIRECTION_CODE,E_ERROR_CLEARED_DATE,E_FLYWAY_CODE,E_HOW_CAPTURED,E_HOW_OBTAINED_CODE,E_LAT_10_MIN_BLK,E_LAT_DECIMAL_DEGREES,E_LOCATION_DESCRIPTION,E_LOCATION_ID,E_LON_10_MIN_BLK,E_LON_DECIMAL_DEGREES,E_MARKER_LONG_DESC,E_PLACE_NAME,E_PRESENT_CONDITION_CODE,E_SPECIES_ID,E_SPECIES_NAME,E_STATE_CODE,ENC_PERMIT,ENCOUNTER_DATE,ENCOUNTER_DAY,ENCOUNTER_MONTH,ENCOUNTER_YEAR,ENC_ERROR,HSS,MIN_AGE_AT_ENC,ORIGINAL_BAND,OTHER_BANDS,REPORTING_METHOD,SAME_10_MIN_BLOCK
TRUE,3850751,6,21,2,0,82,3,,1,US,0,69,1,PL,Cannon Net,PL,385,38.90833,"Slaughter Beach(Beach within town limits of Slaughter Beach), Sussex County Delaware, United States (Bandit ID: SLAUGHT)",295229,751,-75.30833,LEG FLAG: 79+ BLACK ON LIGHT GREEN;,23332,4,2830,Ruddy Turnstone,10,133297683,5/19/2019,19,5,2019,N,2.3,3850751,21,14:55:00,,1,US,1,7/19/2019,7,2019,0,7/22/2019,1,Cannon Net,66,385,38.94167,Mispillion Harbor - Point Beach,270080,751,-75.30833,LEG FLAG: 79+ BLACK ON LIGHT GREEN;,Slaughter Beach,7,2830,Ruddy Turnstone,10,23332,5/28/2019,28,5,2019,,0,1.92,133297683,,14,Y
TRUE,3850751,6,21,2,0,82,3,"Status modified, 385 to 319 per remarks -- db",1,US,0,19,1,PL,Cannon Net,PL,385,38.94167,"Slaughter Beach(Beaches in Mispillion Harbor, 4 km N of Slaughter Beach), Kent County Delaware, United States (Bandit ID: MISPILL)",293053,751,-75.30833,LEG FLAG: 0=T BLACK ON LIGHT GREEN;,23332,5,2830,Ruddy Turnstone,10,133297913,5/27/2018,27,5,2018,,0,3850751,21,14:55:00,,1,US,1,7/19/2019,7,2019,0,7/19/2019,1,Cannon Net,66,385,38.94167,Mispillion Harbor - Point Beach,270080,751,-75.30833,LEG FLAG: 0=T BLACK ON LIGHT GREEN;,Slaughter Beach,7,2830,Ruddy Turnstone,10,23332,5/28/2019,28,5,2019,,1,2.92,133297913,,14,Y
TRUE,3850751,6,21,2,0,82,3,,1,US,0,69,1,PL,Cannon Net,PL,385,38.94167,"Slaughter Beach(Mispillion Harbor - Osprey Beach), Sussex County Delaware, United States (Bandit ID: MISP_OSP)",297905,751,-75.30833,LEG FLAG: PH+ BLACK ON LIGHT GREEN;,23332,4,2830,Ruddy Turnstone,10,133297799,5/14/2019,14,5,2019,S,2.3,3850751,21,9:05:00,,1,US,5,7/19/2019,7,2019,0,7/19/2019,1,Cannon Net,66,385,38.90833,Beach within town limits of Slaughter Beach,295229,751,-75.30833,LEG FLAG: PH+ BLACK ON LIGHT GREEN;,Slaughter Beach,7,2830,Ruddy Turnstone,10,23332,5/19/2019,19,5,2019,,0,1.92,133297799,,14,Y
TRUE,3850751,6,21,2,0,82,3,,1,US,0,0,1,PL,Cannon Net,PL,385,38.94167,"Slaughter Beach(Beaches in Mispillion Harbor, 4 km N of Slaughter Beach), Kent County Delaware, United States (Bandit ID: MISPILL)",293053,751,-75.30833,,23332,5,2830,Ruddy Turnstone,10,133298447,5/13/2018,13,5,2018,S,2.3,3850751,21,13:15:00,,1,US,5,7/19/2019,7,2019,0,7/19/2019,1,Cannon Net,66,385,38.90833,Beach within town limits of Slaughter Beach,295229,751,-75.30833,,Slaughter Beach,7,2830,Ruddy Turnstone,10,23332,5/24/2019,24,5,2019,,1,2.92,133298447,,14,Y
TRUE,3850751,6,21,2,0,82,3,,1,US,0,0,1,PL,Cannon Net,PL,385,38.94167,"Slaughter Beach(Mispillion Harbor - Back Beach), Kent County Delaware, United States (Bandit ID: MISPBACK)",297904,751,-75.30833,,23332,4,2830,Ruddy Turnstone,10,133298720,5/20/2019,20,5,2019,S,2.3,3850751,21,13:15:00,,1,US,5,7/19/2019,7,2019,0,7/19/2019,1,Cannon Net,66,385,38.90833,Beach within town limits of Slaughter Beach,295229,751,-75.30833,LEG FLAG: 23+ BLACK ON LIGHT GREEN;,Slaughter Beach,7,2830,Ruddy Turnstone,10,23332,5/24/2019,24,5,2019,,0,1.92,133298720,,14,Y
TRUE,3850751,6,21,2,0,82,3,,1,US,0,69,1,PL,Cannon Net,PL,385,38.94167,"Slaughter Beach(Mispillion Harbor - Point Beach), Kent County Delaware, United States (Bandit ID: MISP_PT)",270080,751,-75.30833,LEG FLAG: H=2 BLACK ON LIGHT GREEN;,23332,4,2830,Ruddy Turnstone,10,133298853,5/28/2019,28,5,2019,,0,3850751,21,14:25:00,,1,US,1,7/19/2019,7,2019,0,7/19/2019,1,Cannon net,66,385,38.94167,Mispillion Harbor - Back Beach,297904,751,-75.30833,LEG FLAG: H=2 BLACK ON LIGHT GREEN;,Slaughter Beach,7,2830,Ruddy Turnstone,10,23332,5/29/2019,29,5,2019,,0,1.92,133298853,,14,Y
TRUE,3900752,6,21,2,0,82,3,,1,US,0,69,1,PL,Cannon Net,PL,390,39.05833,"Frederica(Beach within town limits of Bowers Beach, 1 km N of Murderkill River), Kent County Delaware, United States (Bandit ID: N_BOWERS)",328095,752,-75.40833,LEG FLAG: +LC BLACK ON LIGHT GREEN;,23332,5,2830,Ruddy Turnstone,10,133297919,5/16/2019,16,5,2019,SSE,9.7,3850751,21,17:15:00,,1,US,1,7/19/2019,7,2019,0,7/22/2019,1,Cannon Net,66,385,38.94167,Mispillion Harbor - Back Beach,297904,751,-75.30833,LEG FLAG: +LC BLACK ON LIGHT GREEN;,Slaughter Beach,7,2830,Ruddy Turnstone,10,23332,5/26/2019,26,5,2019,,0,1.92,133297919,,14,N
TRUE,3850751,6,21,2,0,82,3,,1,US,0,69,1,PL,Cannon Net,PL,385,38.94167,"Slaughter Beach(Mispillion Harbor - Osprey Beach), Sussex County Delaware, United States (Bandit ID: MISP_OSP)",297905,751,-75.30833,LEG FLAG: 7=U BLACK ON LIGHT GREEN;,23332,4,2830,Ruddy Turnstone,10,133297795,5/14/2019,14,5,2019,,0,3850751,21,17:15:00,,1,US,1,7/19/2019,7,2019,0,7/19/2019,1,Cannon Net,66,385,38.94167,Mispillion Harbor - Back Beach,297904,751,-75.30833,LEG FLAG: 7=U BLACK ON LIGHT GREEN;,Slaughter Beach,7,2830,Ruddy Turnstone,10,23332,5/26/2019,26,5,2019,,0,1.92,133297795,,14,Y
TRUE,3850751,6,21,2,0,82,3,,1,US,0,69,1,PL,Cannon Net,PL,385,38.94167,"Slaughter Beach(Beaches in Mispillion Harbor, 4 km N of Slaughter Beach), Kent County Delaware, United States (Bandit ID: MISPILL)",293053,751,-75.30833,LEG FLAG: =6A BLACK ON LIGHT GREEN;,23332,5,2830,Ruddy Turnstone,10,133297788,5/31/2018,31,5,2018,,0,3850751,21,14:25:00,,1,US,1,7/19/2019,7,2019,0,7/19/2019,1,Cannon Net,66,385,38.94167,Mispillion Harbor - Back Beach,297904,751,-75.30833,LEG FLAG: =6A BLACK ON LIGHT GREEN;,Slaughter Beach,7,2830,Ruddy Turnstone,10,23332,5/29/2019,29,5,2019,,1,2.92,133297788,,14,Y
TRUE,3850751,6,21,2,0,82,3,,1,US,0,69,1,PL,Cannon Net,PL,385,38.90833,"Slaughter Beach(Beach within town limits of Slaughter Beach), Sussex County Delaware, United States (Bandit ID: SLAUGHT)",295229,751,-75.30833,LEG FLAG: +NA BLACK ON LIGHT GREEN;,23332,5,2830,Ruddy Turnstone,10,133298770,5/24/2019,24,5,2019,N,2.3,3850751,21,14:25:00,,1,US,1,7/19/2019,7,2019,0,7/19/2019,1,Cannon Net,66,385,38.94167,Mispillion Harbor - Back Beach,297904,751,-75.30833,LEG FLAG: +NA BLACK ON LIGHT GREEN;,Slaughter Beach,7,2830,Ruddy Turnstone,10,23332,5/29/2019,29,5,2019,,0,1.92,133298770,,14,Y
TRUE,3850751,6,21,2,0,82,3,"Status modified, 385 to 369 per remarks -- db",1,US,0,69,1,PL,Cannon Net,PL,385,38.94167,"Slaughter Beach(Beaches in Mispillion Harbor, 4 km N of Slaughter Beach), Kent County Delaware, United States (Bandit ID: MISPILL)",293053,751,-75.30833,LEG FLAG: EA+ BLACK ON LIGHT GREEN;,23332,4,2830,Ruddy Turnstone,10,133297711,5/27/2018,27,5,2018,,0,3850751,21,10:05:00,,1,US,5,7/19/2019,7,2019,0,7/19/2019,1,Cannon Net,66,385,38.94167,Mispillion Harbor - Osprey Beach,297905,751,-75.30833,LEG FLAG: EA+ BLACK ON LIGHT GREEN;,Slaughter Beach,7,2830,Ruddy Turnstone,10,23332,5/14/2019,14,5,2019,,1,2.92,133297711,,14,Y
TRUE,3850751,6,21,2,0,82,3,"Status modified, 385 to 319 per remarks -- db",1,US,0,19,1,PL,Cannon Net,PL,385,38.94167,"Slaughter Beach(Beaches in Mispillion Harbor, 4 km N of Slaughter Beach), Kent County Delaware, United States (Bandit ID: MISPILL)",293053,751,-75.30833,LEG FLAG: 0+J BLACK ON LIGHT GREEN;,23332,4,2830,Ruddy Turnstone,10,133297523,5/15/2018,15,5,2018,,0,3850751,21,10:05:00,,1,US,5,7/19/2019,7,2019,0,7/19/2019,1,Cannon Net,66,385,38.94167,Mispillion Harbor - Osprey Beach,297905,751,-75.30833,LEG FLAG: 0+J BLACK ON LIGHT GREEN;,Slaughter Beach,7,2830,Ruddy Turnstone,10,23332,5/14/2019,14,5,2019,,1,2.92,133297523,,14,Y
